"","fL","usekernel","adjust","Accuracy","Kappa","AccuracySD","KappaSD"
"87",0.4,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"88",0.4,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"89",0.4,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"90",0.4,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"91",0.4,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"92",0.4,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"93",0.4,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"94",0.4,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"95",0.4,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"96",0.4,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"97",0.45,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"98",0.45,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"99",0.45,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"100",0.45,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"101",0.45,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"102",0.45,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"103",0.45,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"104",0.45,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"105",0.45,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"106",0.45,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"107",0.45,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
