"","adrenocortical","cabeza cuello","cerebro","cervical","colangiocarcinoma","colon","esófago","estómago","hígado","leucemia","linfoma células B","mama","mesotelioma","ovario","páncreas","paraganglioma","piel","próstata","pulmón","riñón","sarcoma","testículos","timoma","tiroides","útero","úvea","vejiga","MeanDecreaseAccuracy","MeanDecreaseGini"
"ENSG00000108381",0.00027752009894867,0.00116800659657803,0.000449134199134199,-0.0001497113997114,0.000234348984348984,0.00327957161885733,-0.000416932274075131,0.00077379168450597,0.000323747680890538,-6.49350649350649e-05,0.000669501133786848,0.000597041847041847,0.000676587301587302,0.0019015429015429,0.000293728097299526,0.000158730158730159,0.000418367346938775,0.000554378161521019,0.000315094627594628,0.00376321892393321,0.000332722832722833,0.000694299631274421,0.000181318681318681,0.000185374149659864,0.00158709147994862,-0.000183982683982684,-1.90345368916798e-05,0.000639775561038337,0.534417302665068
"ENSG00000086205",0.000571338383838384,0.000317965764394336,0.000397828362114076,0.00155473891188177,0.000553030303030303,0.00108212026069169,0.0007496114996115,0.000610922807351379,0.000360114092256949,0.000604926819212533,0.00195160791589363,0.000806697270982985,0.000333333333333333,0.000582516689659547,0.000251494537208823,0.000322475143903715,0.000511121115112712,0.0311732795099392,0.000710238174523889,0.000528697492983207,0.000800170068027211,0.000917059131344845,0.00148304473304473,0.000973222214293643,0.000674585218702866,0.000441690254190254,0.000317975675118532,0.00189516867978095,1.24806407344526
"ENSG00000182771",-7.31837606837607e-05,0.000978844568130282,0.00207844932844933,0.00102298495155638,0.00750826157969015,0.00239815270360383,0.000976518521161378,0.000227728620585763,-5.38628038628039e-05,0.000807823129251701,0.000187253222967509,0.00203714539428825,0.000101242011956298,0.000885761064332493,0.00208179518893805,0.00389692846835704,0.000939608011036582,0.00195872381586667,0.00233997450961737,0.00082032055246341,-0.000315901360544218,0.00109737187415759,0.001413394145537,0.0123677413855985,0.00123688216545359,0.00307039389182246,0.00141703336346194,0.0018717878949194,0.932463208360112
"ENSG00000145708",0.00012987012987013,0.0013800148264434,0.000146683673469388,0.000273268398268398,-9.92063492063492e-06,0.000974489795918367,-1.70940170940171e-05,0.000240842490842491,0.000269230769230769,0.00340759637188209,7.92957042957043e-05,0.000304421768707483,0.000332792207792208,0.00096260089117232,0.00051973026973027,0,0.000154220779220779,0.000303030303030303,0.000816797581503464,0.000113945578231293,0.000372972265829409,0.00146996753246753,-4.76190476190476e-05,0.000708694083694084,6.84315684315684e-05,0.000189393939393939,0.000733663162234591,0.000491874525114026,0.379898622747176
"ENSG00000076864",0.00235030445744731,0.00068268636125779,0.000936141761329731,0.000548477316334459,0.00741242289456575,-6.04901051329623e-05,0.00033172779601351,1.20229910145877e-05,0.000509205080633652,0.00135047591297591,0.0118137864120007,0.00258283383283383,0.00172755419183991,0.00157589236160665,0.00215844175665604,0.000261170377241806,0.00120749348690525,0.00401823375037661,0.000756050497121926,0.0011321892393321,0.0041555433362156,0.00141977280422659,0.00695521740164597,0.00224075527646956,0.000833959691102548,0.00248445998445998,2.54844361987219e-05,0.00219337365669543,1.25133566288654
"ENSG00000184860",0.000212842712842713,7.14285714285714e-05,0.000737318237318237,-0.000119047619047619,0.00051611285539857,-0.000212585034013605,0.000180890538033395,-0.000136363636363636,0,0.000144300144300144,-0.000119047619047619,0.000149136577708006,-9.92063492063493e-06,-0.00014030612244898,0,0,0,0,-0.00018140589569161,0.000289115646258503,0.000633485562056991,0.000324175824175824,0.00076739332096475,-7.53532182103611e-05,0.000191609977324263,0,0.000102040816326531,0.000121895801941531,0.228824009865424
"ENSG00000102962",0.000159580498866213,0.00143536126571841,0.000119047619047619,-0.000213744588744589,7.45207173778602e-05,7.28715728715729e-05,0.000449134199134199,-0.000107709750566893,0.000378510378510379,0.000955215419501134,0.00182719066647638,0.00022108843537415,0.000295264259549974,0.00116299246971516,-5.10204081632653e-05,0.000480137509549274,0.000371590710876425,0.00012987012987013,0.000249542124542125,0,-0.000120846415489273,-2.1608643457383e-05,0.00119570707070707,7.73631130773988e-05,0.000604090354090354,0.00302667669631955,0.000500832500832501,0.00050094544618336,0.51812561338796
"ENSG00000269405",6.49350649350649e-05,-0.00020124716553288,0.000580455259026687,2.26757369614512e-05,0.000619047619047619,0.000142857142857143,-7.14285714285714e-05,-7.14285714285714e-05,0.000530427905427905,0.000636577708006279,-8.50340136054421e-06,0.00016156462585034,0.000192486085343228,0.000314935064935065,0.000105095884507649,0.000144230769230769,-5.49450549450549e-05,7.93650793650794e-05,-0.000135487528344671,5.501443001443e-05,0.000274994846423418,0.00219608367822653,0.000198412698412698,0,0.000332766439909297,5.95238095238095e-05,9.66810966810967e-05,0.000236721326322597,0.379746546662139
"ENSG00000106688",0.000288530913530914,0.000349269952736339,0.000629251700680272,-0.000154220779220779,0.0023283965101192,-0.00016765873015873,3.27202559345416e-05,8.17634746206176e-06,0.000107142857142857,0.00321771978021978,0.000182539682539683,-4.11255411255411e-05,0.000379303236446094,0.00132186563436563,0.00117009379509379,0.000291666666666667,0.000149951239236954,0.000412698412698413,0.00023344413522985,0.00120379818594104,0.000602453102453103,0.000424825174825175,0.00261387620316192,2.55102040816327e-05,0.000304618001046572,-5.86913086913087e-05,4.21899529042386e-05,0.000587839938582401,0.554395867293933
"ENSG00000166856",8.426097711812e-05,-8.92857142857143e-05,0.000675435675435675,5.10204081632653e-05,0.0010640589569161,-8.50340136054422e-06,-6.49350649350649e-05,0.000163033395176252,0.000130952380952381,0,0.000563852813852814,0.000223665223665224,-5.95238095238095e-05,5.95238095238095e-05,-5.10204081632653e-05,8.33333333333333e-05,-0.000182151182151182,0,0.00015206284943127,0.00024000999000999,-7.93650793650794e-05,0.000272768198188366,0.000260770975056689,-0.00012987012987013,0.000407081014223871,0.000695970695970696,-0.000330455259026688,0.00013599873020655,0.241379322763245
"ENSG00000143816",-0.000160714285714286,0.000444284881784882,0.000472789115646259,0.000353741496598639,0.00127028527028527,0.000130084201512773,0.000465561224489796,1.9532055246341e-05,0.00229843965558251,0.000448979591836735,0.000139652014652015,0.000624458874458874,0.000967865467865468,0.000203823953823954,6.99677306820164e-05,0,0.000829104718810601,0.000260822510822511,0.000316017316017316,-6.34662956091527e-05,-0.000152847152847153,5.41640898783756e-05,-1.78571428571429e-05,5.8982683982684e-05,0.000126373626373626,0.000427489177489178,-3.67965367965368e-05,0.000349566599142883,0.405630712481028
"ENSG00000166257",0.000502834467120181,0.000490886098028955,0.000836734693877551,0.000311498725364272,0.000641679748822606,0.000902989867275582,0.000177179962894249,-9.03035456606885e-05,0.00156298463441321,0.000265262515262515,0.000412397126682841,0.000298451548451548,0.000281655844155844,0.000143122750265607,0.000300595238095238,0.0108382946418661,8.92857142857143e-05,0.000420591313448456,-2.36132914704343e-05,0.00061988011988012,0.000218323343323343,0.000906985871271585,0.000638878978164693,0.000503793825222397,1.04181532752961e-05,0.000319125319125319,0.00108181104609676,0.000825550785890303,0.719654479777645
"ENSG00000184305",0.000731340088482946,0.000137755102040816,0.00109024309024309,0.000836477015048443,-0.000170634920634921,0.00140221088435374,0.000440432583289726,-4.24787630669984e-05,0.00184577922077922,0,3.8265306122449e-05,-4.4955044955045e-05,0.000915352504638219,0.000296176046176046,0.000211080586080586,0.0027437641723356,0.000273242630385488,0.000847736223676073,0.000328039650408071,0.000267857142857143,0.00106974374831518,0.000644692608978323,0.000671768707482993,0,3.05250305250305e-05,0.000171245421245421,0.000238095238095238,0.000549130928511776,0.472887724887579
"ENSG00000021645",0.000144300144300144,0.000714028035456607,0.000178571428571429,0.00202682238396524,0,9.63718820861678e-05,0.000251533189033189,5.03663003663004e-05,0.000142857142857143,7.93650793650794e-05,0,-0.000191326530612245,0.000277777777777778,1.03021978021978e-05,-6.49350649350649e-05,0.00123483659197945,-0.000136904761904762,0.00011595547309833,0.000245421245421245,3.57142857142857e-05,-0.000248085248085248,0.000194805194805195,3.81493506493506e-05,0,-0.000193489676572383,0.000288461538461538,-0.000532088942803229,0.000159879877393992,0.330699714722474
